Main_Source_of_Income,Education_Expenditure,Household_Head_Sex,Household_Head_Age,Total_members_employed
Wage/Salaries,0,Male,51,3
Other sources of Income,72063,Male,47,1
Other sources of Income,1283,Female,73,2
Enterpreneurial Activities,5720,Male,65,1
Enterpreneurial Activities,1335,Male,41,1
Other sources of Income,12403,Female,47,1
Wage/Salaries,630,Male,51,1
Enterpreneurial Activities,0,Male,39,0
Other sources of Income,0,Male,67,0
Other sources of Income,3040,Male,43,0
Other sources of Income,200,Female,69,0
Other sources of Income,120,Female,86,1
Enterpreneurial Activities,3100,Male,50,1
Enterpreneurial Activities,2273,Male,47,0
Enterpreneurial Activities,1760,Male,49,0
Enterpreneurial Activities,18600,Male,59,1
Other sources of Income,32085,Female,40,1
Wage/Salaries,50850,Male,54,1
Other sources of Income,23450,Female,73,0
Wage/Salaries,1080,Male,60,3
Wage/Salaries,1520,Male,30,1
Enterpreneurial Activities,0,Male,63,0
Wage/Salaries,1760,Male,35,2
Wage/Salaries,2110,Male,51,3
Wage/Salaries,2080,Male,45,3
Wage/Salaries,1570,Male,65,2
Enterpreneurial Activities,820,Male,33,2
Other sources of Income,1350,Male,43,2
Wage/Salaries,970,Male,39,1
Other sources of Income,2400,Male,43,1
Enterpreneurial Activities,0,Male,78,0
Other sources of Income,1128,Male,42,1
Wage/Salaries,1065,Male,34,2
Enterpreneurial Activities,0,Female,63,1
Enterpreneurial Activities,2400,Male,44,1
Other sources of Income,0,Male,63,2
Enterpreneurial Activities,1540,Male,33,1
Wage/Salaries,300,Male,32,1
Enterpreneurial Activities,0,Male,57,0
Other sources of Income,1166,Male,36,1
Enterpreneurial Activities,1160,Male,34,0
Other sources of Income,100,Male,81,0
Other sources of Income,670,Male,28,0
Enterpreneurial Activities,9210,Male,51,0
Other sources of Income,530,Male,47,0
Enterpreneurial Activities,520,Male,29,1
Enterpreneurial Activities,1230,Male,39,0
Enterpreneurial Activities,1038,Male,38,1
Wage/Salaries,0,Male,60,2
Wage/Salaries,800,Female,47,1
Enterpreneurial Activities,300,Male,31,0
Wage/Salaries,2070,Male,40,2
Wage/Salaries,250,Male,36,2
Wage/Salaries,350,Male,28,2
Wage/Salaries,3040,Male,38,2
Other sources of Income,0,Female,86,1
Enterpreneurial Activities,34430,Male,46,0
Wage/Salaries,1350,Female,57,2
Other sources of Income,3765,Male,41,0
Other sources of Income,3440,Female,74,0
Other sources of Income,250,Female,76,0
Wage/Salaries,700,Male,36,1
Other sources of Income,0,Female,73,0
Enterpreneurial Activities,850,Male,42,1
Enterpreneurial Activities,1420,Male,67,0
Other sources of Income,0,Female,71,3
Enterpreneurial Activities,0,Male,37,0
Enterpreneurial Activities,1136,Male,36,0
Enterpreneurial Activities,80,Female,75,0
Wage/Salaries,5830,Male,43,1
Enterpreneurial Activities,650,Male,35,0
Enterpreneurial Activities,165,Male,30,1
Other sources of Income,30,Male,66,1
Other sources of Income,300,Male,27,0
Other sources of Income,0,Male,88,0
Enterpreneurial Activities,80,Male,41,1
Enterpreneurial Activities,60,Male,55,0
Enterpreneurial Activities,770,Male,46,0
Enterpreneurial Activities,790,Male,47,0
Enterpreneurial Activities,130,Male,37,0
Enterpreneurial Activities,0,Male,35,0
Wage/Salaries,435,Male,41,1
Enterpreneurial Activities,155,Male,33,0
Other sources of Income,0,Male,69,0
Wage/Salaries,4220,Male,51,4
Other sources of Income,2620,Male,45,3
Enterpreneurial Activities,1980,Male,59,2
Wage/Salaries,14390,Male,55,4
Wage/Salaries,830,Male,35,2
Enterpreneurial Activities,0,Male,32,1
Enterpreneurial Activities,583,Male,53,2
Wage/Salaries,1375,Male,45,5
Enterpreneurial Activities,6230,Male,49,3
Wage/Salaries,2445,Male,45,3
Other sources of Income,1435,Male,48,3
Other sources of Income,1205,Male,49,2
Enterpreneurial Activities,26000,Male,47,1
Enterpreneurial Activities,0,Female,59,0
Wage/Salaries,975,Female,47,2
Wage/Salaries,2145,Male,53,4
Other sources of Income,15726,Male,59,1
Wage/Salaries,2655,Male,60,1
Wage/Salaries,6250,Male,44,2
Other sources of Income,5229,Male,69,1
Other sources of Income,3200,Female,45,1
Wage/Salaries,8482,Male,40,2
Wage/Salaries,490,Male,65,2
Enterpreneurial Activities,0,Male,63,0
Wage/Salaries,0,Male,27,1
Other sources of Income,515,Male,43,1
Other sources of Income,9020,Female,75,0
Other sources of Income,120,Female,51,0
Enterpreneurial Activities,0,Male,53,3
Wage/Salaries,0,Male,22,1
Enterpreneurial Activities,23000,Male,49,2
Wage/Salaries,230,Male,43,1
Wage/Salaries,0,Male,26,1
Enterpreneurial Activities,140,Male,49,1
Other sources of Income,8000,Male,41,1
Other sources of Income,61360,Female,56,1
Other sources of Income,0,Male,48,2
Other sources of Income,4900,Male,60,1
Other sources of Income,0,Female,89,0
Other sources of Income,125,Female,33,0
Other sources of Income,0,Male,43,0
Other sources of Income,100,Female,29,2
Enterpreneurial Activities,1350,Male,49,1
Enterpreneurial Activities,1000,Female,56,2
Wage/Salaries,1450,Male,30,1
Wage/Salaries,0,Female,47,1
Enterpreneurial Activities,1230,Female,44,0
Enterpreneurial Activities,1100,Male,27,0
Wage/Salaries,550,Male,55,2
Enterpreneurial Activities,250,Male,26,0
Enterpreneurial Activities,1595,Male,36,0
Enterpreneurial Activities,2820,Male,56,0
Enterpreneurial Activities,3000,Male,60,0
Wage/Salaries,0,Male,22,1
Wage/Salaries,1600,Male,43,1
Other sources of Income,2860,Female,38,0
Wage/Salaries,7400,Male,51,1
Wage/Salaries,38650,Male,63,2
Enterpreneurial Activities,200,Male,69,0
Enterpreneurial Activities,0,Male,54,0
Enterpreneurial Activities,450,Male,41,0
Wage/Salaries,6560,Male,46,1
Enterpreneurial Activities,420,Male,42,0
Enterpreneurial Activities,400,Male,44,0
Enterpreneurial Activities,18350,Male,53,0
Enterpreneurial Activities,1060,Male,45,0
Wage/Salaries,0,Male,44,2
Wage/Salaries,510,Male,40,1
Enterpreneurial Activities,1200,Male,48,0
Wage/Salaries,600,Male,48,1
Enterpreneurial Activities,16430,Male,54,0
Enterpreneurial Activities,380,Male,44,0
Wage/Salaries,140,Male,36,1
Wage/Salaries,8730,Male,60,1
Wage/Salaries,25450,Male,68,1
Enterpreneurial Activities,520,Male,46,0
Enterpreneurial Activities,0,Male,34,0
Enterpreneurial Activities,18800,Male,45,0
Wage/Salaries,0,Male,64,1
Enterpreneurial Activities,40,Male,53,0
Wage/Salaries,300,Male,52,2
Enterpreneurial Activities,700,Male,62,0
Enterpreneurial Activities,23800,Male,54,0
Wage/Salaries,500,Male,31,1
Enterpreneurial Activities,18510,Male,50,0
Enterpreneurial Activities,0,Male,29,0
Enterpreneurial Activities,300,Male,32,0
Enterpreneurial Activities,23840,Male,59,0
Wage/Salaries,200,Male,27,1
Enterpreneurial Activities,300,Male,50,0
Enterpreneurial Activities,0,Female,43,0
Enterpreneurial Activities,0,Male,29,0
Enterpreneurial Activities,280,Male,55,0
Enterpreneurial Activities,0,Male,31,0
Enterpreneurial Activities,2010,Male,48,0
Enterpreneurial Activities,0,Male,58,0
Enterpreneurial Activities,1710,Male,40,0
Enterpreneurial Activities,350,Male,29,0
Enterpreneurial Activities,250,Male,41,0
Enterpreneurial Activities,0,Male,28,0
Enterpreneurial Activities,0,Male,21,0
Enterpreneurial Activities,1140,Male,51,0
Enterpreneurial Activities,0,Female,28,0
Enterpreneurial Activities,0,Male,35,0
Enterpreneurial Activities,380,Male,60,0
Enterpreneurial Activities,730,Male,38,0
Enterpreneurial Activities,480,Male,42,0
Enterpreneurial Activities,0,Male,36,0
Enterpreneurial Activities,730,Male,40,0
Enterpreneurial Activities,860,Male,44,0
Enterpreneurial Activities,640,Male,54,0
Enterpreneurial Activities,450,Male,34,0
Enterpreneurial Activities,250,Male,45,0
Enterpreneurial Activities,15350,Male,39,0
Enterpreneurial Activities,600,Male,46,0
Enterpreneurial Activities,360,Male,54,0
Enterpreneurial Activities,753,Male,40,0
Enterpreneurial Activities,370,Male,32,0
Enterpreneurial Activities,0,Male,72,0
Enterpreneurial Activities,7320,Male,40,0
Enterpreneurial Activities,1730,Male,49,0
Enterpreneurial Activities,0,Male,58,0
Enterpreneurial Activities,6890,Male,43,0
Enterpreneurial Activities,13150,Female,47,0
Wage/Salaries,20660,Male,44,1
Enterpreneurial Activities,278,Male,38,0
Enterpreneurial Activities,0,Female,71,0
Enterpreneurial Activities,0,Male,28,0
Enterpreneurial Activities,406,Male,35,0
Enterpreneurial Activities,413,Male,35,0
Enterpreneurial Activities,0,Male,56,0
Enterpreneurial Activities,1812,Male,37,0
Enterpreneurial Activities,406,Male,64,0
Enterpreneurial Activities,8450,Male,29,0
Enterpreneurial Activities,406,Male,66,0
Enterpreneurial Activities,0,Male,31,0
Enterpreneurial Activities,1428,Male,60,0
Enterpreneurial Activities,0,Male,65,0
Enterpreneurial Activities,970,Male,45,0
Enterpreneurial Activities,300,Male,42,0
Enterpreneurial Activities,0,Male,30,0
Enterpreneurial Activities,480,Male,33,0
Enterpreneurial Activities,150,Male,56,0
Enterpreneurial Activities,0,Male,29,0
Enterpreneurial Activities,2130,Male,45,0
Enterpreneurial Activities,1600,Female,35,1
Other sources of Income,0,Female,51,0
Enterpreneurial Activities,1000,Male,56,0
Enterpreneurial Activities,0,Female,55,0
Other sources of Income,800,Male,30,0
Enterpreneurial Activities,700,Male,36,0
Enterpreneurial Activities,650,Male,45,0
Enterpreneurial Activities,150,Male,52,0
Enterpreneurial Activities,1950,Male,43,0
Enterpreneurial Activities,150,Male,45,0
Enterpreneurial Activities,600,Male,43,0
Other sources of Income,3000,Female,50,0
Wage/Salaries,0,Male,58,3
Enterpreneurial Activities,1000,Male,34,0
Wage/Salaries,4000,Male,49,2
Enterpreneurial Activities,2300,Male,35,0
Wage/Salaries,3000,Male,41,1
Wage/Salaries,2700,Male,34,0
Enterpreneurial Activities,1750,Male,48,0
Enterpreneurial Activities,2600,Male,57,0
Enterpreneurial Activities,500,Male,41,0
Enterpreneurial Activities,0,Male,27,0
Enterpreneurial Activities,12450,Male,49,0
Enterpreneurial Activities,0,Male,33,0
Enterpreneurial Activities,1300,Male,40,0
Other sources of Income,0,Male,40,0
Wage/Salaries,13400,Male,43,1
Enterpreneurial Activities,0,Male,50,0
Enterpreneurial Activities,2200,Male,45,0
Wage/Salaries,13100,Female,50,2
Enterpreneurial Activities,1350,Male,43,0
Enterpreneurial Activities,0,Male,27,0
Enterpreneurial Activities,0,Male,40,0
Enterpreneurial Activities,0,Male,37,0
Wage/Salaries,1000,Male,38,1
Enterpreneurial Activities,1180,Male,61,0
Enterpreneurial Activities,1130,Male,49,0
Wage/Salaries,5500,Male,60,1
Enterpreneurial Activities,1145,Male,37,0
Enterpreneurial Activities,5550,Male,32,0
Other sources of Income,2720,Male,46,0
Enterpreneurial Activities,4783,Male,46,0
Enterpreneurial Activities,0,Male,29,0
Enterpreneurial Activities,2820,Male,52,0
Enterpreneurial Activities,1280,Male,53,0
Enterpreneurial Activities,1160,Male,36,0
Enterpreneurial Activities,4080,Male,36,0
Enterpreneurial Activities,1445,Male,60,0
Enterpreneurial Activities,1460,Male,40,0
Enterpreneurial Activities,7520,Female,35,0
Enterpreneurial Activities,1860,Male,78,0
Enterpreneurial Activities,510,Male,54,0
Enterpreneurial Activities,760,Male,36,1
Enterpreneurial Activities,0,Male,95,0
Enterpreneurial Activities,1430,Male,35,0
Enterpreneurial Activities,1040,Male,43,0
Enterpreneurial Activities,720,Male,31,0
Wage/Salaries,960,Male,43,1
Enterpreneurial Activities,1200,Female,48,0
Enterpreneurial Activities,1280,Male,42,0
Wage/Salaries,1700,Male,59,1
Wage/Salaries,1190,Female,67,1
Enterpreneurial Activities,1282,Male,28,0
Enterpreneurial Activities,1660,Male,46,0
Wage/Salaries,2700,Female,54,1
Wage/Salaries,1525,Male,31,1
Enterpreneurial Activities,1330,Male,36,1
Enterpreneurial Activities,2465,Male,50,0
Enterpreneurial Activities,1480,Male,49,0
Enterpreneurial Activities,1150,Male,39,0
Enterpreneurial Activities,2010,Male,54,0
Enterpreneurial Activities,1400,Male,35,0
Wage/Salaries,890,Male,50,1
Enterpreneurial Activities,1500,Male,40,0
Enterpreneurial Activities,1610,Male,36,0
Wage/Salaries,1380,Male,41,1
Enterpreneurial Activities,1155,Male,39,0
Enterpreneurial Activities,640,Male,33,0
Wage/Salaries,1470,Male,49,1
Wage/Salaries,1240,Male,38,1
Enterpreneurial Activities,1250,Male,36,0
Enterpreneurial Activities,1025,Male,30,0
Enterpreneurial Activities,863,Male,36,0
Enterpreneurial Activities,1330,Male,52,0
Wage/Salaries,450,Male,37,1
Wage/Salaries,50100,Male,61,2
Wage/Salaries,800,Female,50,2
Wage/Salaries,3000,Male,45,1
Enterpreneurial Activities,0,Male,62,0
Wage/Salaries,0,Male,47,1
Enterpreneurial Activities,800,Male,46,0
Wage/Salaries,1300,Male,44,1
Enterpreneurial Activities,600,Male,41,0
Enterpreneurial Activities,0,Female,68,0
Wage/Salaries,500,Male,54,1
Wage/Salaries,600,Male,43,2
Wage/Salaries,6000,Male,41,1
Enterpreneurial Activities,600,Male,39,0
Enterpreneurial Activities,1200,Male,49,1
Enterpreneurial Activities,300,Male,51,0
Enterpreneurial Activities,600,Male,43,0
Enterpreneurial Activities,720,Male,47,0
Enterpreneurial Activities,1000,Male,55,0
Enterpreneurial Activities,300,Male,40,0
Enterpreneurial Activities,700,Male,37,0
Enterpreneurial Activities,0,Male,31,0
Enterpreneurial Activities,450,Male,69,0
Wage/Salaries,0,Female,53,1
Enterpreneurial Activities,750,Female,66,0
Enterpreneurial Activities,350,Male,56,0
Enterpreneurial Activities,300,Male,43,0
Enterpreneurial Activities,700,Male,31,0
Enterpreneurial Activities,0,Male,22,0
Enterpreneurial Activities,900,Male,28,0
Enterpreneurial Activities,600,Male,36,0
Enterpreneurial Activities,300,Male,39,0
Enterpreneurial Activities,1200,Male,46,0
Enterpreneurial Activities,0,Male,66,0
Enterpreneurial Activities,4250,Male,60,0
Enterpreneurial Activities,0,Male,64,0
Enterpreneurial Activities,6700,Male,57,0
Enterpreneurial Activities,340,Male,38,0
Enterpreneurial Activities,1000,Male,41,0
Enterpreneurial Activities,800,Male,43,0
Enterpreneurial Activities,0,Male,31,0
Enterpreneurial Activities,0,Male,28,0
Enterpreneurial Activities,1950,Male,46,0
Enterpreneurial Activities,8600,Male,62,0
Enterpreneurial Activities,2440,Male,43,0
Enterpreneurial Activities,12040,Male,48,0
Enterpreneurial Activities,1040,Male,26,0
Enterpreneurial Activities,0,Male,26,0
Enterpreneurial Activities,9195,Male,61,0
Enterpreneurial Activities,6400,Male,50,1
Enterpreneurial Activities,2900,Male,53,1
Enterpreneurial Activities,1600,Male,39,0
Enterpreneurial Activities,3000,Male,41,1
Enterpreneurial Activities,1355,Male,61,0
Enterpreneurial Activities,7320,Male,41,0
Wage/Salaries,1750,Male,26,1
Enterpreneurial Activities,3425,Male,44,0
Enterpreneurial Activities,100,Male,28,0
Other sources of Income,750,Male,66,0
Wage/Salaries,2300,Male,51,0
Enterpreneurial Activities,0,Male,71,0
Wage/Salaries,0,Male,43,0
Enterpreneurial Activities,0,Male,30,0
Wage/Salaries,0,Male,23,0
Enterpreneurial Activities,0,Male,22,0
Other sources of Income,0,Male,33,0
Enterpreneurial Activities,1500,Male,53,0
Enterpreneurial Activities,1450,Male,52,0
Other sources of Income,0,Male,54,2
Enterpreneurial Activities,0,Male,30,0
Enterpreneurial Activities,0,Male,55,0
Enterpreneurial Activities,0,Male,46,0
Enterpreneurial Activities,0,Male,35,0
Wage/Salaries,60150,Male,53,3
Enterpreneurial Activities,5100,Male,41,0
Enterpreneurial Activities,0,Female,69,0
Enterpreneurial Activities,5940,Female,56,1
Wage/Salaries,1150,Male,64,1
Wage/Salaries,19200,Male,54,1
Enterpreneurial Activities,2445,Male,70,0
Wage/Salaries,3240,Male,47,3
Wage/Salaries,2100,Male,38,2
Other sources of Income,2460,Male,29,0
Wage/Salaries,45230,Male,44,2
Wage/Salaries,27950,Male,54,2
Other sources of Income,850,Female,65,0
Enterpreneurial Activities,1000,Male,28,0
Wage/Salaries,335,Male,42,3
Other sources of Income,2890,Male,70,0
Enterpreneurial Activities,0,Male,70,0
Wage/Salaries,0,Male,50,1
Wage/Salaries,1200,Male,48,1
Enterpreneurial Activities,0,Male,22,0
Enterpreneurial Activities,1100,Female,28,0
Enterpreneurial Activities,0,Male,35,0
Enterpreneurial Activities,900,Male,50,0
Enterpreneurial Activities,1400,Male,31,0
Wage/Salaries,1500,Male,57,1
Enterpreneurial Activities,0,Male,34,0
Enterpreneurial Activities,0,Male,66,0
Enterpreneurial Activities,0,Male,25,0
Enterpreneurial Activities,1100,Male,54,0
Enterpreneurial Activities,0,Male,37,0
Enterpreneurial Activities,1450,Male,41,0
Enterpreneurial Activities,1100,Male,45,0
Wage/Salaries,1800,Male,49,3
Enterpreneurial Activities,1700,Male,31,0
Enterpreneurial Activities,700,Male,38,0
Other sources of Income,1800,Male,46,1
Enterpreneurial Activities,1000,Male,40,0
Enterpreneurial Activities,1900,Male,56,0
Wage/Salaries,0,Male,27,1
Enterpreneurial Activities,0,Female,20,0
Wage/Salaries,1300,Male,48,0
Wage/Salaries,2975,Male,58,1
Enterpreneurial Activities,100,Male,27,0
Wage/Salaries,2370,Male,40,1
Wage/Salaries,645,Male,45,1
Enterpreneurial Activities,0,Female,65,0
Wage/Salaries,400,Male,30,1
Enterpreneurial Activities,350,Male,36,0
Wage/Salaries,0,Male,22,1
Enterpreneurial Activities,1980,Male,48,0
Enterpreneurial Activities,300,Male,64,0
Wage/Salaries,11000,Male,51,2
Wage/Salaries,1300,Male,45,1
Enterpreneurial Activities,6700,Male,53,0
Enterpreneurial Activities,1260,Male,57,0
Enterpreneurial Activities,850,Male,48,0
Enterpreneurial Activities,500,Male,42,0
Wage/Salaries,1800,Male,53,1
Enterpreneurial Activities,1200,Male,39,0
Enterpreneurial Activities,0,Male,45,0
Enterpreneurial Activities,600,Male,50,0
Enterpreneurial Activities,1050,Male,46,0
Enterpreneurial Activities,700,Male,29,0
Wage/Salaries,2700,Male,55,3
Wage/Salaries,4200,Male,36,1
Enterpreneurial Activities,2500,Male,39,0
Enterpreneurial Activities,900,Male,34,0
Enterpreneurial Activities,2550,Male,39,0
Enterpreneurial Activities,600,Male,53,0
Wage/Salaries,1400,Male,39,1
Enterpreneurial Activities,1200,Male,39,0
Wage/Salaries,1550,Male,50,1
Enterpreneurial Activities,1500,Male,51,1
Enterpreneurial Activities,1300,Male,29,0
Enterpreneurial Activities,4200,Male,63,0
Enterpreneurial Activities,1000,Male,31,1
Enterpreneurial Activities,1600,Male,41,0
Wage/Salaries,1250,Male,35,1
Enterpreneurial Activities,1300,Male,43,0
Wage/Salaries,600,Male,45,1
Enterpreneurial Activities,1150,Male,75,1
Wage/Salaries,1550,Male,46,1
Enterpreneurial Activities,1100,Male,39,0
Enterpreneurial Activities,6500,Male,63,0
Enterpreneurial Activities,27450,Male,49,1
Enterpreneurial Activities,0,Female,71,0
Other sources of Income,450,Male,38,1
Wage/Salaries,300,Male,29,1
Enterpreneurial Activities,1200,Male,50,1
Enterpreneurial Activities,0,Male,37,0
Enterpreneurial Activities,0,Male,48,0
Enterpreneurial Activities,800,Male,46,1
Wage/Salaries,240,Male,43,3
Wage/Salaries,3200,Male,68,1
Enterpreneurial Activities,0,Female,75,1
Wage/Salaries,0,Female,58,1
Enterpreneurial Activities,550,Male,45,0
Wage/Salaries,1650,Male,45,2
Wage/Salaries,580,Male,56,1
Wage/Salaries,1240,Male,38,1
Enterpreneurial Activities,600,Male,66,0
Enterpreneurial Activities,0,Male,25,0
Enterpreneurial Activities,900,Male,26,0
Enterpreneurial Activities,1050,Male,38,0
Enterpreneurial Activities,2120,Male,56,1
Enterpreneurial Activities,9250,Male,44,1
Enterpreneurial Activities,580,Male,39,0
Enterpreneurial Activities,2350,Male,44,0
Wage/Salaries,1120,Male,46,1
Wage/Salaries,2430,Male,38,1
Enterpreneurial Activities,3100,Male,50,0
Enterpreneurial Activities,720,Female,56,0
Wage/Salaries,1970,Male,44,1
Wage/Salaries,1700,Male,55,1
Enterpreneurial Activities,1550,Male,31,0
Other sources of Income,1350,Female,41,0
Enterpreneurial Activities,1780,Male,40,0
Enterpreneurial Activities,860,Male,54,0
Enterpreneurial Activities,0,Male,38,0
Other sources of Income,1550,Male,41,0
Other sources of Income,0,Male,48,0
Wage/Salaries,1820,Male,42,1
Enterpreneurial Activities,1160,Male,35,0
Wage/Salaries,23500,Male,43,2
Enterpreneurial Activities,6650,Male,45,1
Enterpreneurial Activities,580,Male,42,0
Enterpreneurial Activities,1350,Male,38,0
Enterpreneurial Activities,850,Male,52,0
Enterpreneurial Activities,100,Male,32,0
Wage/Salaries,2100,Male,55,1
Enterpreneurial Activities,1000,Male,38,1
Enterpreneurial Activities,300,Male,52,0
Enterpreneurial Activities,500,Male,42,0
Enterpreneurial Activities,400,Female,37,0
Enterpreneurial Activities,100,Male,40,0
Enterpreneurial Activities,500,Male,35,0
Enterpreneurial Activities,1150,Male,35,0
Enterpreneurial Activities,1090,Male,40,0
Enterpreneurial Activities,1050,Male,42,0
Enterpreneurial Activities,550,Male,35,0
Enterpreneurial Activities,0,Male,21,0
Enterpreneurial Activities,660,Male,45,0
Enterpreneurial Activities,900,Male,45,0
Wage/Salaries,0,Male,40,1
Enterpreneurial Activities,1900,Male,40,0
Enterpreneurial Activities,0,Male,37,0
Enterpreneurial Activities,960,Male,46,0
Other sources of Income,0,Male,85,0
Enterpreneurial Activities,1400,Male,40,0
Enterpreneurial Activities,1200,Male,26,0
Enterpreneurial Activities,1150,Male,65,0
Enterpreneurial Activities,1050,Male,38,0
Other sources of Income,0,Male,69,0
Enterpreneurial Activities,0,Male,27,0
Enterpreneurial Activities,0,Male,28,0
Enterpreneurial Activities,0,Male,41,0
Enterpreneurial Activities,700,Female,45,0
Enterpreneurial Activities,300,Male,26,0
Enterpreneurial Activities,0,Male,55,0
Enterpreneurial Activities,0,Male,56,0
Enterpreneurial Activities,0,Male,35,0
Enterpreneurial Activities,0,Male,25,0
Enterpreneurial Activities,0,Male,40,0
Enterpreneurial Activities,1070,Male,35,0
Enterpreneurial Activities,0,Male,26,0
Enterpreneurial Activities,0,Male,39,0
Enterpreneurial Activities,0,Male,25,0
Enterpreneurial Activities,150,Male,30,0
Enterpreneurial Activities,300,Male,27,0
Enterpreneurial Activities,0,Male,36,0
Enterpreneurial Activities,0,Male,27,0
Enterpreneurial Activities,150,Male,40,0
Enterpreneurial Activities,300,Male,30,0
Enterpreneurial Activities,685,Male,35,0
Enterpreneurial Activities,850,Male,40,0
Enterpreneurial Activities,350,Male,35,0
Enterpreneurial Activities,0,Male,45,0
Enterpreneurial Activities,0,Male,70,0
Enterpreneurial Activities,325,Male,55,0
Enterpreneurial Activities,250,Male,22,0
Enterpreneurial Activities,250,Male,45,0
Enterpreneurial Activities,500,Male,35,0
Enterpreneurial Activities,0,Male,61,0
Enterpreneurial Activities,360,Male,40,0
Enterpreneurial Activities,150,Male,53,0
Enterpreneurial Activities,1095,Male,48,0
Enterpreneurial Activities,400,Male,49,0
Enterpreneurial Activities,0,Male,73,0
Enterpreneurial Activities,0,Male,26,0
Enterpreneurial Activities,0,Male,52,0
Other sources of Income,290,Male,55,0
Enterpreneurial Activities,0,Male,26,0
Enterpreneurial Activities,20,Male,56,0
Other sources of Income,360,Female,60,0
Enterpreneurial Activities,700,Male,43,0
Enterpreneurial Activities,450,Male,28,0
Enterpreneurial Activities,280,Male,30,0
Enterpreneurial Activities,285,Male,24,0
Enterpreneurial Activities,610,Male,35,0
Enterpreneurial Activities,880,Male,38,0
Enterpreneurial Activities,370,Male,63,0
Enterpreneurial Activities,90,Male,45,0
Enterpreneurial Activities,50,Male,29,0
Enterpreneurial Activities,0,Male,27,0
Enterpreneurial Activities,240,Male,35,0
Enterpreneurial Activities,0,Male,20,0
Enterpreneurial Activities,0,Male,26,0
Enterpreneurial Activities,910,Male,45,0
Enterpreneurial Activities,350,Female,46,0
Enterpreneurial Activities,780,Male,53,0
Enterpreneurial Activities,0,Male,45,0
Enterpreneurial Activities,470,Male,37,0
Enterpreneurial Activities,395,Male,35,0
Enterpreneurial Activities,25,Male,55,0
Enterpreneurial Activities,1710,Male,26,0
Enterpreneurial Activities,0,Male,70,0
Enterpreneurial Activities,600,Male,26,1
Enterpreneurial Activities,4400,Male,41,1
Other sources of Income,355,Male,77,0
Enterpreneurial Activities,0,Male,21,1
Other sources of Income,12000,Male,39,1
Enterpreneurial Activities,0,Male,21,0
Enterpreneurial Activities,1462,Male,41,2
Enterpreneurial Activities,0,Male,23,0
Wage/Salaries,585,Male,31,1
Enterpreneurial Activities,350,Male,41,0
Other sources of Income,8869,Male,40,1
Other sources of Income,785,Female,43,1
Other sources of Income,0,Male,26,0
Enterpreneurial Activities,10589,Male,47,1
Other sources of Income,0,Male,24,0
Enterpreneurial Activities,350,Male,23,0
Other sources of Income,0,Male,22,0
Enterpreneurial Activities,4370,Male,49,0
Enterpreneurial Activities,160,Male,36,1
Enterpreneurial Activities,10036,Male,43,1
Other sources of Income,0,Male,21,1
Other sources of Income,0,Male,25,0
Wage/Salaries,0,Male,49,3
Other sources of Income,550,Male,52,2
Enterpreneurial Activities,6715,Male,44,1
Enterpreneurial Activities,0,Male,43,0
Enterpreneurial Activities,746,Male,39,0
Enterpreneurial Activities,588,Male,43,2
Enterpreneurial Activities,390,Male,79,0
Wage/Salaries,3000,Female,53,2
Wage/Salaries,2500,Female,52,2
Other sources of Income,510,Male,28,2
Wage/Salaries,0,Male,46,2
Wage/Salaries,8000,Male,53,2
Other sources of Income,0,Male,75,0
Wage/Salaries,150,Male,39,1
Wage/Salaries,0,Female,55,2
Enterpreneurial Activities,0,Male,34,1
Enterpreneurial Activities,4500,Male,35,0
Enterpreneurial Activities,0,Female,61,0
Wage/Salaries,20800,Male,54,1
Wage/Salaries,0,Female,63,2
Enterpreneurial Activities,0,Male,40,0
Other sources of Income,0,Male,74,0
Wage/Salaries,400,Male,53,1
Other sources of Income,0,Male,63,0
Other sources of Income,0,Male,37,0
Enterpreneurial Activities,1400,Male,52,1
Enterpreneurial Activities,600,Male,57,1
Wage/Salaries,800,Male,62,1
Wage/Salaries,410,Female,56,3
Enterpreneurial Activities,950,Male,29,1
Enterpreneurial Activities,790,Male,40,0
Enterpreneurial Activities,0,Female,61,1
Enterpreneurial Activities,900,Male,45,0
Wage/Salaries,0,Male,32,1
Enterpreneurial Activities,0,Male,64,0
Wage/Salaries,850,Male,57,1
Wage/Salaries,6250,Male,52,1
Enterpreneurial Activities,1010,Female,35,1
Enterpreneurial Activities,1095,Male,37,0
Enterpreneurial Activities,0,Female,51,0
Enterpreneurial Activities,0,Male,31,0
Enterpreneurial Activities,0,Male,80,0
Enterpreneurial Activities,0,Male,57,0
Enterpreneurial Activities,0,Female,60,0
Enterpreneurial Activities,500,Female,55,0
Enterpreneurial Activities,5500,Male,41,0
Enterpreneurial Activities,1000,Male,36,0
Enterpreneurial Activities,600,Male,36,0
Enterpreneurial Activities,190,Male,35,0
Enterpreneurial Activities,300,Male,31,0
Enterpreneurial Activities,0,Male,33,0
Enterpreneurial Activities,0,Male,31,0
Enterpreneurial Activities,1350,Male,31,0
Other sources of Income,1100,Female,39,0
Enterpreneurial Activities,1300,Male,41,0
Enterpreneurial Activities,1300,Female,31,0
Other sources of Income,1000,Male,50,1
Enterpreneurial Activities,2250,Male,37,1
Enterpreneurial Activities,1050,Male,30,0
Enterpreneurial Activities,700,Male,28,0
Other sources of Income,200,Male,40,0
Other sources of Income,1000,Female,71,0
Enterpreneurial Activities,1900,Male,54,1
